institute,domain,resolution,RCM,driving_GCM,ensemble_member,GWL,experiment,period_start,period_end,status,eu_cordex
RMI,Europe,12km,ALARO1-SFX,ERA-5,-,hist,evaluation,1950,2020,planned,TRUE
RMI,Belgium,4km,ALARO1-SFX,ERA-5,-,hist,evaluation,1995,2014,planned,FALSE
RMI,Europe,12km,ALARO1-SFX,CNRM-ESM2-1,r1i1p1f2,hist,hist,1995,2014,planned,TRUE
RMI,Belgium,4km,ALARO1-SFX,CNRM-ESM2-1,r1i1p1f2,hist,hist,1995,2014,planned,FALSE
RMI,Europe,12km,ALARO1-SFX,CNRM-ESM2-1,r1i1p1f2,2&3,SSP5-8.5,2014,2100,planned,TRUE
RMI,Belgium,4km,ALARO1-SFX,CNRM-ESM2-1,r1i1p1f2,2,SSP5-8.5,?,?,planned,FALSE
RMI,Belgium,4km,ALARO1-SFX,CNRM-ESM2-1,r1i1p1f2,3,SSP5-8.5,?,?,planned,FALSE
RMI,Europe,12km,ALARO1-SFX,CNRM-ESM2-1,r1i1p1f2,2&3,SSP2-4.5,?,?,planned,TRUE
RMI,Belgium,4km,ALARO1-SFX,CNRM-ESM2-1,r1i1p1f2,2,SSP2-4.5,?,?,planned,FALSE
RMI,Belgium,4km,ALARO1-SFX,CNRM-ESM2-1,r1i1p1f2,3,SSP2-4.5,?,?,planned,FALSE
RMI,Europe,12km,ALARO1-SFX,EC-Earth3-Veg,r1i1p1f1,hist,hist,1995,2014,planned,TRUE
RMI,Belgium,4km,ALARO1-SFX,EC-Earth3-Veg,r1i1p1f1,hist,hist,1995,2014,planned,FALSE
RMI,Europe,12km,ALARO1-SFX,EC-Earth3-Veg,r1i1p1f1,2&3,SSP5-8.5,?,?,planned,TRUE
RMI,Belgium,4km,ALARO1-SFX,EC-Earth3-Veg,r1i1p1f1,2,SSP5-8.5,?,?,planned,FALSE
RMI,Belgium,4km,ALARO1-SFX,EC-Earth3-Veg,r1i1p1f1,3,SSP5-8.5,?,?,planned,FALSE
RMI,Europe,12km,ALARO1-SFX,EC-Earth3-Veg,r1i1p1f1,2&3,SSP2-4.5,?,?,planned,TRUE
RMI,Belgium,4km,ALARO1-SFX,EC-Earth3-Veg,r1i1p1f1,2,SSP2-4.5,?,?,planned,FALSE
RMI,Belgium,4km,ALARO1-SFX,EC-Earth3-Veg,r1i1p1f1,3,SSP2-4.5,?,?,planned,FALSE
RMI,Europe,12km,ALARO1-SFX,TBD,-,hist,hist,1995,2014,planned,FALSE
RMI,Belgium,4km,ALARO1-SFX,TBD,-,hist,hist,1995,2014,planned,FALSE
RMI,Europe,12km,ALARO1-SFX,TBD,-,2,SSP5-8.5,?,?,planned,FALSE
RMI,Belgium,4km,ALARO1-SFX,TBD,-,2,SSP5-8.5,?,?,planned,FALSE
RMI,Europe,12km,ALARO1-SFX,TBD,-,3,SSP5-8.5,?,?,planned,FALSE
RMI,Belgium,4km,ALARO1-SFX,TBD,-,3,SSP5-8.5,?,?,planned,FALSE
RMI,Europe,12km,ALARO1-SFX,TBD,-,2,SSP2-4.5,?,?,planned,FALSE
RMI,Belgium,4km,ALARO1-SFX,TBD,-,2,SSP2-4.5,?,?,planned,FALSE
RMI,Europe,12km,ALARO1-SFX,TBD,-,3,SSP2-4.5,?,?,planned,FALSE
RMI,Belgium,4km,ALARO1-SFX,TBD,-,3,SSP2-4.5,?,?,planned,FALSE
U-Liege,Belgium,4km,MARv3.14,ERA-5,-,hist,evaluation,1995,2014,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,MIROC6,r1i1p1f1,hist,hist,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,MIROC6,r1i1p1f1,2&3,SSP1-2.6,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,MIROC6,r1i1p1f1,2&3,SSP2-4.5,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,MIROC6,r1i1p1f1,2&3,SSP3-7.0,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,MIROC6,r1i1p1f1,2&3,SSP5-8.5,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,EC-Earth3-Veg,r1i1p1f1,hist,hist,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,EC-Earth3-Veg,r1i1p1f1,2&3,SSP1-2.6,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,EC-Earth3-Veg,r1i1p1f1,2&3,SSP2-4.5,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,EC-Earth3-Veg,r1i1p1f1,2&3,SSP3-7.0,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,EC-Earth3-Veg,r1i1p1f1,2&3,SSP5-8.5,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,CMCC-CM2-SR5,r1i1p1f1,hist,hist,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,CMCC-CM2-SR5,r1i1p1f1,2&3,SSP1-2.6,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,CMCC-CM2-SR5,r1i1p1f1,2&3,SSP2-4.5,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,CMCC-CM2-SR5,r1i1p1f1,2&3,SSP3-7.0,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,CMCC-CM2-SR5,r1i1p1f1,2&3,SSP5-8.5,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,MPI-ESM1-2-HR,r1i1p1f1,hist,hist,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,MPI-ESM1-2-HR,r1i1p1f1,2&3,SSP1-2.6,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,MPI-ESM1-2-HR,r1i1p1f1,2&3,SSP2-4.5,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,MPI-ESM1-2-HR,r1i1p1f1,2&3,SSP3-7.0,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,MPI-ESM1-2-HR,r1i1p1f1,2&3,SSP5-8.5,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,NorESM2-MM,r1i1p1f1,hist,hist,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,NorESM2-MM,r1i1p1f1,2&3,SSP1-2.6,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,NorESM2-MM,r1i1p1f1,2&3,SSP2-4.5,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,NorESM2-MM,r1i1p1f1,2&3,SSP3-7.0,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,NorESM2-MM,r1i1p1f1,2&3,SSP5-8.5,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,IPSL-CM6A-LR,r1i1p1f1,hist,hist,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,IPSL-CM6A-LR,r1i1p1f1,2&3,SSP1-2.6,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,IPSL-CM6A-LR,r1i1p1f1,2&3,SSP2-4.5,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,IPSL-CM6A-LR,r1i1p1f1,2&3,SSP3-7.0,?,?,complete,FALSE
U-Liege,Belgium,4km,MARv3.14,IPSL-CM6A-LR,r1i1p1f1,2&3,SSP5-8.5,?,?,complete,FALSE
KU Leuven,Europe,12km,COSMO-CLMv6,ERA-5,-,hist,evaluation,1950,2020,planned,FALSE
KU Leuven,Belgium,4km,COSMO-CLMv6,ERA-5,-,hist,evaluation,1995,2014,planned,FALSE
KU Leuven,Europe,12km,COSMO-CLMv6,EC-Earth3-Veg,r1i1p1f1,hist,hist,1995,2014,planned,FALSE
KU Leuven,Belgium,4km,COSMO-CLMv6,EC-Earth3-Veg,r1i1p1f1,hist,hist,1995,2014,planned,FALSE
KU Leuven,Europe,12km,COSMO-CLMv6,EC-Earth3-Veg,r1i1p1f1,2,SSP5-8.5,?,?,planned,FALSE
KU Leuven,Belgium,4km,COSMO-CLMv6,EC-Earth3-Veg,r1i1p1f1,2,SSP5-8.5,?,?,planned,FALSE
KU Leuven,Europe,12km,COSMO-CLMv6,EC-Earth3-Veg,r1i1p1f1,3,SSP5-8.5,?,?,planned,FALSE
KU Leuven,Belgium,4km,COSMO-CLMv6,EC-Earth3-Veg,r1i1p1f1,3,SSP5-8.5,?,?,planned,FALSE
KU Leuven,Europe,12km,COSMO-CLMv6,EC-Earth3-Veg,r1i1p1f1,2,SSP2-4.5,?,?,planned,FALSE
KU Leuven,Belgium,4km,COSMO-CLMv6,EC-Earth3-Veg,r1i1p1f1,2,SSP2-4.5,?,?,planned,FALSE
KU Leuven,Europe,12km,COSMO-CLMv6,EC-Earth3-Veg,r1i1p1f1,3,SSP2-4.5,?,?,planned,FALSE
KU Leuven,Belgium,4km,COSMO-CLMv6,EC-Earth3-Veg,r1i1p1f1,3,SSP2-4.5,?,?,planned,FALSE
KU Leuven,Europe,12km,COSMO-CLMv6,MIROC6,r1i1p1f1,hist,hist,1995,2014,planned,FALSE
KU Leuven,Belgium,4km,COSMO-CLMv6,MIROC6,r1i1p1f1,hist,hist,1995,2014,planned,FALSE
KU Leuven,Europe,12km,COSMO-CLMv6,MIROC6,r1i1p1f1,2,SSP5-8.5,?,?,planned,FALSE
KU Leuven,Belgium,4km,COSMO-CLMv6,MIROC6,r1i1p1f1,2,SSP5-8.5,?,?,planned,FALSE
KU Leuven,Europe,12km,COSMO-CLMv6,MIROC6,r1i1p1f1,3,SSP5-8.5,?,?,planned,FALSE
KU Leuven,Belgium,4km,COSMO-CLMv6,MIROC6,r1i1p1f1,3,SSP5-8.5,?,?,planned,FALSE
KU Leuven,Europe,12km,COSMO-CLMv6,MIROC6,r1i1p1f1,2,SSP3-7.0,?,?,planned,FALSE
KU Leuven,Belgium,4km,COSMO-CLMv6,MIROC6,r1i1p1f1,2,SSP3-7.0,?,?,planned,FALSE
KU Leuven,Europe,12km,COSMO-CLMv6,MIROC6,r1i1p1f1,3,SSP3-7.0,?,?,planned,FALSE
KU Leuven,Belgium,4km,COSMO-CLMv6,MIROC6,r1i1p1f1,3,SSP3-7.0,?,?,planned,FALSE
